age_numeric,category,ci_lower,ci_upper,mean
3,bird,-4.217809871761097,-3.7584268834188435,-3.9884322807660184
3,boat,-3.548060943282975,-2.739028449102176,-3.174973961154751
3,book,-2.56294417950016,-1.5782020914986987,-2.055582005372235
3,bottle,-1.8456521504640893,-0.8766659814998737,-1.3973613825635984
3,bowl,-2.6517314352586365,-1.781578816009416,-2.2154779141910996
3,cactus,-3.253368794423611,-2.355384841037601,-2.7675025380660996
3,camel,-2.3013714642408907,-1.4317224286591839,-1.9038370705159111
3,car,-3.2795201471160307,-2.386118720386365,-2.8179272045909642
3,cat,-4.030260714121061,-3.5620584541400286,-3.7979917243307777
3,chair,-2.82454664472583,-1.7870462416670017,-2.2896767676368346
3,clock,-2.004190220594774,-1.0146739063856856,-1.4926385266931603
3,couch,-3.9587853087998504,-3.2471297117506106,-3.6047342179664086
3,cow,-3.9503202006322535,-3.2158577258704772,-3.5468980669317953
3,cup,-3.6991255172058,-3.117658930377366,-3.4029387772133965
3,dog,-4.234882782145954,-3.767409513442287,-3.998195199848755
3,elephant,-3.2402796799028084,-2.6860806903508903,-2.948013045148963
3,face,-2.1701869393633393,-1.3399259375059696,-1.7461347247304955
3,fish,-3.478278072646778,-2.7638494565290292,-3.130862570552769
3,frog,-3.9377533268855975,-3.369963889769245,-3.6568966624402663
3,hand,-2.184632603350135,-1.2872167769783323,-1.7556939250044488
3,hat,-2.8432304412442613,-1.6155736350342988,-2.230230592062061
3,horse,-3.623717074267083,-2.9817875036423653,-3.292500656680061
3,house,-3.2806289021524924,-2.16979542734617,-2.7189064363359665
3,ice cream,-2.8025610914181014,-1.6522811323833417,-2.23340648563674
3,key,-3.1640864830540085,-2.2860534399878207,-2.7176000022971154
3,lamp,-2.9832146505995016,-1.8245065713764008,-2.3878695422007135
3,mushroom,-2.907908536708302,-1.9875957595020737,-2.4360436805680874
3,octopus,-2.708720040890745,-1.9477227059066098,-2.3100368795163564
3,person,-3.3210166999567847,-2.650117776394337,-3.0033528222092087
3,phone,-3.1298407922685056,-2.290487267051479,-2.721189826401059
3,piano,-2.3947430726883594,-1.4151925738363706,-1.9403033545016568
3,rabbit,-3.4550797139833778,-2.587324285904879,-3.0278616426093494
3,scissors,-3.199054006678605,-2.3241029354245666,-2.7474710634878936
3,sheep,-3.875585145361571,-3.195947976705531,-3.541554330759473
3,snail,-2.7098087360231338,-1.683693845755197,-2.196639500056112
3,spider,-2.9454871450286975,-2.0935561085137637,-2.499868523737109
3,tiger,-3.350508106463664,-2.6775251240283624,-2.9985439578066817
3,train,-3.3491749715739894,-2.5786907454105497,-2.9460157630519315
3,tree,-3.0419819021687386,-2.3047268842038884,-2.6706359937109267
3,TV,-3.1018126940984545,-2.2242188700054957,-2.6431919038264073
3,watch,-3.7947982394194413,-2.994406395684739,-3.4217498531396777
3,whale,-3.1631591188654156,-2.409303074266186,-2.770469935706907
4,airplane,-3.1386549219038136,-2.3455213623667044,-2.740884999069327
4,apple,-1.4657927611207424,-0.6589508505578968,-1.049021733062243
4,bear,-3.5892077273166887,-3.024758498366456,-3.297853229732434
4,bed,-2.854868349207893,-2.328726331809305,-2.5908044320187464
4,bee,-2.959094840296104,-2.4807609628793643,-2.7251958027282472
4,bike,-2.1318364135096064,-1.2348998364172754,-1.6879920901231582
4,bird,-4.14902226397073,-3.593957287852299,-3.8752974002047273
4,boat,-3.151868836634573,-2.2662631989296034,-2.732907175165166
4,book,-1.9872485871529253,-1.2995247386987308,-1.6546769646820025
4,bottle,-2.0524643639152296,-1.4019285802534653,-1.7314583833510033
4,bowl,-2.7005130354211664,-1.7965757514473597,-2.2299816047007326
4,cactus,-3.1841581831951116,-2.415341266836764,-2.7982813470693215
4,camel,-2.7401662430791838,-2.142849409800552,-2.468627948340691
4,car,-3.349716531794648,-2.6005611987331743,-2.96936980499411
4,cat,-3.9840393808915184,-3.5431005625394545,-3.7600056972349156
4,chair,-2.1087985818132333,-1.3460425474391995,-1.7330805769227353
4,clock,-1.8848443212608827,-1.0108676050468324,-1.487135806198628
4,couch,-3.199293399602154,-2.378437394171545,-2.7825671267642687
4,cow,-3.7137560978396276,-3.268542946554553,-3.4843497545977558
4,cup,-3.6915929360519573,-2.928769910742366,-3.3168646302426894
4,dog,-3.939337376241335,-3.565695725619213,-3.748575350764033
4,elephant,-3.876354722852577,-3.1839229552989408,-3.515515278028827
4,face,-1.93794777808037,-1.3610418494667016,-1.613377950376454
4,fish,-3.062073126561703,-2.4048973162151355,-2.730583394397868
4,frog,-3.673857602155786,-3.220357452963764,-3.4547727922130305
4,hand,-1.7741890090654677,-0.9599829708376733,-1.3518223757125918
4,hat,-2.6341196112798717,-1.7612899462638003,-2.1883200711265323
4,horse,-3.3149930302053265,-2.771151300281004,-3.039881468978664
4,house,-3.189630150951932,-1.9117103847201729,-2.5587287699513803
4,ice cream,-2.5355310905198833,-1.8575620408835458,-2.194752249627078
4,key,-2.6716415047893562,-1.9811955880438503,-2.3263817323033686
4,lamp,-2.9120039614909765,-2.1717082888121193,-2.538554047563449
4,mushroom,-2.520865371182011,-1.8878704702958229,-2.183886164178409
4,octopus,-2.4351914531854537,-1.8455783075669652,-2.153521556246939
4,person,-2.811229856598854,-2.0177833104953145,-2.3871974258616855
4,phone,-2.3630295753790023,-1.5853247758421645,-1.9718103576756458
4,piano,-2.1573208798559502,-1.121914124710401,-1.656065809766827
4,rabbit,-3.56015606764013,-2.835133009751918,-3.195619297695799
4,scissors,-2.709857413877847,-2.0556431589708946,-2.3794390086544572
4,sheep,-3.486057805534876,-2.866695070998058,-3.1640856398048625
4,snail,-2.943043702138657,-2.127025852684833,-2.547733932670474
4,spider,-2.380765533669254,-1.864719971559224,-2.1267352118322744
4,tiger,-3.4066058452291985,-2.9334439166230135,-3.1688613213264643
4,train,-2.955929999841799,-2.207196909475188,-2.5626641837553557
4,tree,-2.8044585060678835,-2.0791513204060217,-2.418901834302818
4,TV,-2.1960385922117904,-1.5796342313993204,-1.8921119693726645
4,watch,-3.675871246154651,-3.012411861002042,-3.3467909857758222
4,whale,-3.218290750306465,-2.610895442345761,-2.897645703663634
5,airplane,-3.155992099827489,-2.4904588868794653,-2.8235187826446224
5,apple,-0.9685235163732766,-0.22437798387434166,-0.5742351415773382
5,bear,-3.3228366629209645,-2.6723844468486595,-2.998681332730923
5,bed,-2.4845248693830437,-1.8791779206298116,-2.191490439928591
5,bee,-3.0368879286283557,-2.4877403210495026,-2.7561882639774247
5,bike,-1.4338282216387879,-0.6857389143906549,-1.0559085897975948
5,bird,-4.142424069593041,-3.6726728505465513,-3.900224634184883
5,boat,-2.3912692888731337,-1.561796134612031,-1.9758788982441418
5,book,-1.511251711412839,-0.9429624138787622,-1.2316899945454598
5,bottle,-1.741476995258377,-1.1875218913703374,-1.4594681366000815
5,bowl,-1.869533389063161,-0.806939840530461,-1.3471281090632004
5,cactus,-2.978450613159547,-2.3955293843876495,-2.6814376197496808
5,camel,-2.892354282397269,-2.33770224216886,-2.6097040578708066
5,car,-2.149959076955949,-1.581096908113097,-1.8610781935048197
5,cat,-3.857023430086255,-3.346705741084044,-3.597897009204427
5,chair,-0.9341065392683876,-0.13917551002548617,-0.5326945973366332
5,clock,-1.314369403534976,-0.598164002081394,-0.9390991547903917
5,couch,-2.482991279642033,-1.8232957177635076,-2.15491543184376
5,cow,-3.5766751098987437,-3.0977714226697635,-3.320403053364659
5,cup,-2.962479920338873,-2.3496999055220527,-2.6447150329010047
5,dog,-3.9522232073855936,-3.5125953665332,-3.7271109011596475
5,elephant,-3.1535558373413433,-2.69961198472669,-2.9114028332491855
5,face,-1.6315068883336372,-0.9325679599326487,-1.2693015731914739
5,fish,-3.140881660075748,-2.602729058828724,-2.868144291933782
5,frog,-3.3215823199623142,-2.8746312206792086,-3.103204649753229
5,hand,-2.008271499142314,-1.1586576029936817,-1.5833195328260197
5,hat,-2.148753524478205,-1.5184744831898416,-1.8196208625738675
5,horse,-3.004939844643658,-2.49981988470272,-2.744780822444398
5,house,-1.6814603001787642,-0.6405774575845057,-1.1860580808651429
5,ice cream,-1.1382931656098603,-0.3368910114214968,-0.756781607564047
5,key,-3.404211375021965,-2.5271582414314055,-2.957487252257483
5,lamp,-2.5181596337657832,-1.682509455463722,-2.1229331419752513
5,mushroom,-2.121286917148751,-1.4532880465563203,-1.78355381279492
5,octopus,-2.3373733180810334,-1.8033215942363898,-2.0695099613975345
5,person,-2.111759193540214,-1.521512583605734,-1.8239651776753643
5,phone,-1.8160119120942109,-1.0056832031742826,-1.3713818129281699
5,piano,-1.3459843072184783,-0.339031769587638,-0.8682256797409335
5,rabbit,-3.361560340790142,-2.461083217169862,-2.9043746930766394
5,scissors,-2.9966816221807497,-2.219221138577795,-2.5908744828480623
5,sheep,-3.508476066452381,-2.7921255202227573,-3.136570939823196
5,snail,-3.1904237095655263,-2.5111589712516547,-2.859448197663772
5,spider,-2.490107672834489,-1.8505336060393747,-2.1500240390059377
5,tiger,-3.2737246413444807,-2.819245392210384,-3.0437665008980046
5,train,-2.28729128693555,-1.669058138599913,-1.9728135506928939
5,tree,-2.192792988378624,-1.5620654821981435,-1.8627881004347815
5,TV,-1.8514355331888501,-1.2003030908713461,-1.5124855030731605
5,watch,-3.4786650439264246,-2.6742770919604277,-3.0871308218894593
5,whale,-2.8805916439372004,-2.279388784953606,-2.559709809799644
6,airplane,-2.8768348944283013,-2.2749268435493497,-2.5854304407809057
6,apple,-0.58555328867411,0.2276246562746839,-0.1730674516781892
6,bear,-3.064817020429664,-2.503494116736596,-2.777966337652324
6,bed,-2.5393115642655832,-1.6939265896657543,-2.1140334960583527
6,bee,-2.6578480611054958,-1.995696882650647,-2.318855812104105
6,bike,-1.0872577687752263,-0.38574659650846715,-0.7369104379860455
6,bird,-3.801516599472348,-3.4296883927666277,-3.6139696806335646
6,boat,-2.15912228314143,-1.2029075280220418,-1.7010874848565076
6,book,-1.4705241493991623,-0.612666881439239,-0.9993472518852414
6,bottle,-1.5542370130953955,-0.8345925706988213,-1.1940819753727097
6,bowl,-1.9786102133902523,-1.1187170369784927,-1.529744876296864
6,cactus,-2.473158229781585,-1.8456145419033338,-2.156626183258331
6,camel,-2.5724583527257465,-2.0048766136486647,-2.2832254096621307
6,car,-2.287001658544534,-1.4123801018785294,-1.848017369523436
6,cat,-3.5185978999392824,-3.1615009560522234,-3.3303567518019825
6,chair,-1.3067715785136942,-0.4646300317738652,-0.8691078051300491
6,clock,-1.549687868853903,-0.1344651705284534,-0.8367587524308595
6,couch,-2.7575269828059557,-2.112199681767026,-2.4513698058343696
6,cow,-3.444158215470286,-2.910417394743417,-3.1622911703229653
6,cup,-2.7320828929099887,-1.876271405902454,-2.2937834929836183
6,dog,-3.8081195850273133,-3.400064776007899,-3.610001277147682
6,elephant,-3.0295976980358628,-2.5839301688021576,-2.799435115942081
6,face,-1.3760654969556776,-0.6412733388863407,-1.00156487733479
6,fish,-2.853902493838614,-2.0951506382498044,-2.472877567781309
6,frog,-3.5191093766755923,-3.0786299882226476,-3.3012488467267964
6,hand,-1.6126583599262325,-0.5303011024469111,-1.0438135920126907
6,hat,-2.0229117609125224,-1.3563345822889323,-1.692684156087138
6,horse,-3.0408747109199408,-2.43096455575038,-2.741640789020798
6,house,-0.9909510484699908,0.20405255308443956,-0.411612552714622
6,ice cream,-0.7824434512121692,0.4453560229778165,-0.19245001524392724
6,key,-2.970123131183387,-2.2732150617137274,-2.608087982411597
6,lamp,-2.1635818793946626,-1.3064622343210848,-1.7454532654571802
