category,model_correct_bin,roi_labelName,count_images_bin,avg_emphasis,count_drawings_with_part,prop_drawings,label,levels
rabbit,1,eye,27,0.08553077765861036,18,0.6666666666666666,eye,eye
rabbit,1,leg,27,0.16332893587692793,14,0.5185185185185185,leg,leg
rabbit,1,mouth,27,0.054418899966200564,10,0.37037037037037035,mouth,mouth
rabbit,1,nose,27,0.056908356384786925,8,0.2962962962962963,nose,nose
rabbit,2,ear,26,0.3262858314602681,23,0.8846153846153846,ear,ear
rabbit,2,eye,26,0.07394091774968338,18,0.6923076923076923,eye,eye
rabbit,2,leg,26,0.15225148065629834,9,0.34615384615384615,leg,leg
rabbit,2,mouth,26,0.057071935711570244,13,0.5,mouth,mouth
rabbit,2,nose,26,0.0450604128073374,7,0.2692307692307692,nose,nose
rabbit,3,ear,26,0.27340505263909565,23,0.8846153846153846,ear,ear
rabbit,3,eye,26,0.08476484799065893,20,0.7692307692307693,eye,eye
rabbit,3,leg,26,0.1201445200877765,11,0.4230769230769231,leg,leg
rabbit,3,mouth,26,0.051701058905415834,16,0.6153846153846154,mouth,mouth
rabbit,3,nose,26,0.059417679985077826,7,0.2692307692307692,nose,nose
rabbit,4,ear,26,0.31461916332332435,23,0.8846153846153846,ear,ear
rabbit,4,eye,26,0.10395288533586487,18,0.6923076923076923,eye,eye
rabbit,4,leg,26,0.13806722763464313,8,0.3076923076923077,leg,leg
rabbit,4,mouth,26,0.045941799228865994,13,0.5,mouth,mouth
rabbit,4,nose,26,0.033805644374372515,9,0.34615384615384615,nose,nose
dog,1,ear,27,0.2542981121012114,14,0.5185185185185185,ear,ear
dog,1,eye,27,0.048743885805860074,15,0.5555555555555556,eye,eye
dog,1,leg,27,0.24697075802650487,16,0.5925925925925926,leg,leg
dog,1,mouth,27,0.05689115637360839,12,0.4444444444444444,mouth,mouth
dog,1,tail,27,0.12569287519697825,6,0.2222222222222222,tail,tail
dog,2,ear,26,0.21353558885683602,13,0.5,ear,ear
dog,2,eye,26,0.07712597139441198,21,0.8076923076923077,eye,eye
dog,2,leg,26,0.20662180171813282,17,0.6538461538461539,leg,leg
dog,2,mouth,26,0.07762539480697019,15,0.5769230769230769,mouth,mouth
dog,2,tail,26,0.12520844727611005,17,0.6538461538461539,tail,tail
dog,3,ear,26,0.19451668883424117,13,0.5,ear,ear
dog,3,eye,26,0.07029320766554202,21,0.8076923076923077,eye,eye
dog,3,leg,26,0.1778389820724121,16,0.6153846153846154,leg,leg
dog,3,mouth,26,0.061843159688895914,16,0.6153846153846154,mouth,mouth
dog,3,tail,26,0.11803735504038224,16,0.6153846153846154,tail,tail
dog,4,ear,26,0.23453564666605253,18,0.6923076923076923,ear,ear
dog,4,eye,26,0.04512535058299986,22,0.8461538461538461,eye,eye
dog,4,leg,26,0.246595157600779,20,0.7692307692307693,leg,leg
dog,4,mouth,26,0.037173327826359466,18,0.6923076923076923,mouth,mouth
dog,4,tail,26,0.08680964940977731,15,0.5769230769230769,tail,tail
sheep,1,ear,38,0.1149018288543063,8,0.21052631578947367,ear,ear
sheep,1,eye,38,0.056598232706603704,24,0.631578947368421,eye,eye
sheep,1,leg,38,0.17877682726892832,30,0.7894736842105263,leg,leg
sheep,1,mouth,38,0.04762768639772995,15,0.39473684210526316,mouth,mouth
sheep,1,wool,38,0.22732849786703557,6,0.15789473684210525,wool,wool
sheep,2,ear,37,0.12491306462413465,12,0.32432432432432434,ear,ear
sheep,2,eye,37,0.041611597158591335,28,0.7567567567567568,eye,eye
sheep,2,leg,37,0.19439465280531174,25,0.6756756756756757,leg,leg
sheep,2,mouth,37,0.028208823529316793,16,0.43243243243243246,mouth,mouth
sheep,2,wool,37,0.32105937741001156,10,0.2702702702702703,wool,wool
sheep,3,ear,37,0.10454158588075652,15,0.40540540540540543,ear,ear
sheep,3,eye,37,0.030892630524675523,27,0.7297297297297297,eye,eye
sheep,3,leg,37,0.20638219921462866,22,0.5945945945945946,leg,leg
sheep,3,mouth,37,0.032646658229319246,16,0.43243243243243246,mouth,mouth
sheep,3,wool,37,0.41841151785994046,16,0.43243243243243246,wool,wool
sheep,4,ear,37,0.07817644331817106,16,0.43243243243243246,ear,ear
sheep,4,eye,37,0.024945367833723215,27,0.7297297297297297,eye,eye
sheep,4,leg,37,0.20154739498368646,28,0.7567567567567568,leg,leg
sheep,4,mouth,37,0.021981873538084493,25,0.6756756756756757,mouth,mouth
sheep,4,wool,37,0.39125964399736246,17,0.4594594594594595,wool,wool
tiger,1,ear,38,0.16622739131131942,15,0.39473684210526316,ear,ear
tiger,1,eye,38,0.0670005868862852,18,0.47368421052631576,eye,eye
tiger,1,leg,38,0.22684650418282448,18,0.47368421052631576,leg,leg
tiger,1,mouth,38,0.04544045484788895,11,0.2894736842105263,mouth,mouth
tiger,1,tail,38,0.12467612062937358,11,0.2894736842105263,tail,tail
