category,age_numeric,roi_labelName,avg_emphasis,count_drawings_with_part,count_images,prop_drawings
fish,7,tail,0.26527306642463455,18,27,0.6666666666666666
fish,8,eye,0.07026139439343124,22,28,0.7857142857142857
fish,8,fin,0.24438405713320244,6,28,0.21428571428571427
fish,8,gill,0.19994148727618577,2,28,0.07142857142857142
fish,8,mouth,0.08076222341716136,14,28,0.5
fish,8,tail,0.2783158945175435,19,28,0.6785714285714286
rabbit,4,ear,0.324908582510621,21,27,0.7777777777777778
rabbit,4,eye,0.09334787730241698,22,27,0.8148148148148148
rabbit,4,leg,0.09441618446830118,3,27,0.1111111111111111
rabbit,4,mouth,0.07860901263534177,12,27,0.4444444444444444
rabbit,4,nose,0.06970962222114484,8,27,0.2962962962962963
rabbit,5,ear,0.27685650316550126,22,28,0.7857142857142857
rabbit,5,eye,0.09490580680417322,18,28,0.6428571428571429
rabbit,5,leg,0.14970554337993805,13,28,0.4642857142857143
rabbit,5,mouth,0.051515905266279936,15,28,0.5357142857142857
rabbit,5,nose,0.04445519352602449,5,28,0.17857142857142858
rabbit,6,ear,0.2715755522613577,24,28,0.8571428571428571
rabbit,6,eye,0.1236669295532686,22,28,0.7857142857142857
rabbit,6,leg,0.16023575762887912,11,28,0.39285714285714285
rabbit,6,mouth,0.06127443340955673,15,28,0.5357142857142857
rabbit,6,nose,0.05220456732063499,7,28,0.25
rabbit,7,ear,0.3041395872800832,26,28,0.9285714285714286
rabbit,7,eye,0.05147403699843538,20,28,0.7142857142857143
rabbit,7,leg,0.15711342781980134,13,28,0.4642857142857143
rabbit,7,mouth,0.046731468064226886,14,28,0.5
rabbit,7,nose,0.030877311297941353,14,28,0.5
rabbit,8,ear,0.3143658291585605,25,28,0.8928571428571429
rabbit,8,eye,0.07210254060059236,21,28,0.75
rabbit,8,leg,0.1496176837747343,17,28,0.6071428571428571
rabbit,8,mouth,0.050057201657849826,16,28,0.5714285714285714
rabbit,8,nose,0.03661459726185812,10,28,0.35714285714285715
dog,4,ear,0.21770954237985887,11,28,0.39285714285714285
dog,4,eye,0.11417435495561053,21,28,0.75
dog,4,leg,0.21741119646856452,15,28,0.5357142857142857
dog,4,mouth,0.06821437059874859,15,28,0.5357142857142857
dog,4,tail,0.10710690584775485,9,28,0.32142857142857145
dog,5,ear,0.18382661607348713,15,28,0.5357142857142857
dog,5,eye,0.05082576122908152,18,28,0.6428571428571429
dog,5,leg,0.23744781197493015,20,28,0.7142857142857143
dog,5,mouth,0.05795706700078535,11,28,0.39285714285714285
dog,5,tail,0.11557971496697983,13,28,0.4642857142857143
dog,6,ear,0.2050442657602447,16,28,0.5714285714285714
dog,6,eye,0.0563479250337579,23,28,0.8214285714285714
dog,6,leg,0.2209095515713099,21,28,0.75
dog,6,mouth,0.04542830725063647,20,28,0.7142857142857143
dog,6,tail,0.10192256439490441,13,28,0.4642857142857143
dog,7,ear,0.22898567029344433,17,28,0.6071428571428571
dog,7,eye,0.04524277116431507,21,28,0.75
dog,7,leg,0.2330688331236668,19,28,0.6785714285714286
dog,7,mouth,0.05943396242130653,19,28,0.6785714285714286
dog,7,tail,0.13449284067806416,17,28,0.6071428571428571
dog,8,ear,0.2384946763778938,21,27,0.7777777777777778
dog,8,eye,0.043368135956788165,24,27,0.8888888888888888
dog,8,leg,0.20908987754240685,21,27,0.7777777777777778
dog,8,mouth,0.04171638490763596,21,27,0.7777777777777778
dog,8,tail,0.0830566929789429,19,27,0.7037037037037037
sheep,4,ear,0.13956187913325727,7,30,0.23333333333333334
sheep,4,eye,0.05664283489348188,18,30,0.6
sheep,4,leg,0.18210256996810711,21,30,0.7
sheep,4,mouth,0.02600544832314032,11,30,0.36666666666666664
