intended_category,age_numeric,count_kid_recognition,count_clip_recognition,kid,model,category,drawings_total
dog,8,8,39,0.75,0.07692307692307693,dog,47
dog,9,9,35,0.3333333333333333,0.2222222222222222,dog,44
dog,10,17,55,0.6666666666666666,0.21818181818181817,dog,72
fish,3,26,126,0.6388888888888888,0.2857142857142857,fish,152
fish,4,24,88,0.7608695652173914,0.3258426966292135,fish,112
fish,5,22,113,0.8918918918918919,0.3565217391304348,fish,135
fish,6,14,69,0.7368421052631579,0.43478260869565216,fish,83
fish,7,16,46,0.8636363636363636,0.391304347826087,fish,62
fish,8,10,37,1,0.4358974358974359,fish,47
fish,9,10,38,0.7272727272727273,0.5526315789473685,fish,48
fish,10,23,57,0.8611111111111112,0.4482758620689655,fish,80
hat,3,31,69,0.5520833333333334,0.4927536231884058,hat,100
hat,4,32,86,0.6370370370370371,0.6162790697674418,hat,118
hat,5,33,112,0.6941176470588235,0.4690265486725664,hat,145
hat,6,32,85,0.7549019607843137,0.4942528735632184,hat,117
hat,7,32,58,0.853448275862069,0.4576271186440678,hat,90
hat,8,28,18,0.8539325842696629,0.5,hat,46
hat,9,23,34,0.8333333333333334,0.47058823529411764,hat,57
hat,10,29,49,0.7872340425531915,0.45098039215686275,hat,78
lamp,3,38,60,0.6181818181818182,0.26229508196721313,lamp,98
lamp,4,40,90,0.6902173913043478,0.24175824175824176,lamp,130
lamp,5,40,92,0.8,0.26881720430107525,lamp,132
lamp,6,36,76,0.7232142857142857,0.2857142857142857,lamp,112
lamp,7,38,47,0.8108108108108109,0.32653061224489793,lamp,85
lamp,8,37,17,0.8061224489795918,0.23529411764705882,lamp,54
lamp,9,26,34,0.8333333333333334,0.4411764705882353,lamp,60
lamp,10,35,44,0.8142857142857143,0.3181818181818182,lamp,79
rabbit,3,48,75,0.6666666666666666,0.4473684210526316,rabbit,123
rabbit,4,64,41,0.639344262295082,0.3902439024390244,rabbit,105
rabbit,5,50,46,0.6265060240963856,0.3695652173913043,rabbit,96
rabbit,6,37,41,0.8333333333333334,0.4146341463414634,rabbit,78
rabbit,7,42,17,0.8360655737704918,0.6470588235294118,rabbit,59
rabbit,8,22,8,0.8333333333333334,0.875,rabbit,30
rabbit,9,20,22,0.9166666666666666,0.5454545454545454,rabbit,42
rabbit,10,45,43,0.7846153846153846,0.6744186046511628,rabbit,88
sheep,3,17,187,0.42857142857142855,0.15425531914893617,sheep,204
sheep,4,29,178,0.4507042253521127,0.18232044198895028,sheep,207
sheep,5,30,153,0.4625,0.2077922077922078,sheep,183
sheep,6,31,159,0.5063291139240507,0.2857142857142857,sheep,190
sheep,7,29,80,0.5892857142857143,0.2839506172839506,sheep,109
sheep,8,19,36,0.4838709677419355,0.4166666666666667,sheep,55
sheep,9,20,51,0.46153846153846156,0.45098039215686275,sheep,71
sheep,10,19,75,0.4,0.5066666666666667,sheep,94
tiger,3,33,49,0.2807017543859649,0,tiger,82
tiger,4,34,79,0.375,0,tiger,113
tiger,5,29,80,0.42857142857142855,0,tiger,109
tiger,6,29,65,0.5866666666666667,0,tiger,94
tiger,7,31,53,0.5833333333333334,0,tiger,84
tiger,8,19,14,0.6333333333333333,0,tiger,33
tiger,9,14,24,0.6470588235294118,0,tiger,38
tiger,10,19,40,0.5714285714285714,0,tiger,59
train,3,18,200,0.7407407407407407,0.0975609756097561,train,218
train,4,20,215,0.5490196078431373,0.11009174311926606,train,235
train,5,21,165,0.7272727272727273,0.12650602409638553,train,186
train,6,23,157,0.8,0.2802547770700637,train,180
train,7,18,90,0.7307692307692307,0.24175824175824176,train,108
train,8,17,49,0.7142857142857143,0.22448979591836735,train,66
train,9,11,51,1,0.27450980392156865,train,62
train,10,17,79,0.6086956521739131,0.35,train,96
