category,model_correct_bin,roi_labelName,avg_emphasis,count_drawings_with_part,count_images_bin,prop_drawings
bird,4,leg,0.10436889169997904,15,29,0.5172413793103449
bird,4,wing,0.306606315523878,19,29,0.6551724137931034
boat,1,deck,0.17553185532637977,2,15,0.13333333333333333
boat,1,hull,0.4185055979414056,2,15,0.13333333333333333
boat,1,mast,0.13491889597002002,5,15,0.3333333333333333
boat,1,sail,0.3000868960630206,6,15,0.4
boat,1,window,0.1665974379045787,3,15,0.2
boat,2,deck,0.24812107208460227,1,15,0.06666666666666667
boat,2,hull,0.2684148808474629,2,15,0.13333333333333333
boat,2,mast,0.1191126951594139,7,15,0.4666666666666667
boat,2,sail,0.2624358727172558,8,15,0.5333333333333333
boat,2,window,0.15961768490396366,2,15,0.13333333333333333
boat,3,deck,0.2232120889345476,3,12,0.25
boat,3,mast,0.10566544556700497,6,12,0.5
boat,3,sail,0.2679846256589039,8,12,0.6666666666666666
boat,3,window,0.24194831145742146,2,12,0.16666666666666666
boat,4,deck,0.21436639833990415,1,11,0.09090909090909091
boat,4,hull,0.45067517656753386,2,11,0.18181818181818182
boat,4,mast,0.10715251967434614,5,11,0.45454545454545453
boat,4,sail,0.24636752934033332,10,11,0.9090909090909091
boat,4,window,0.2993855966412274,1,11,0.09090909090909091
bottle,1,cap,0.25898917353690737,12,17,0.7058823529411765
bottle,1,label,0.3133400347019689,5,17,0.29411764705882354
bottle,1,neck,0.2178563965560757,4,17,0.23529411764705882
bottle,2,base,0.21341842090612206,4,15,0.26666666666666666
bottle,2,cap,0.33436723471495905,8,15,0.5333333333333333
bottle,2,cork,0.09446632797850421,1,15,0.06666666666666667
bottle,2,label,0.3679439776901161,4,15,0.26666666666666666
bottle,2,neck,0.1791795049864395,7,15,0.4666666666666667
bottle,3,base,0.23244541071225353,5,15,0.3333333333333333
bottle,3,cap,0.27499978663963753,9,15,0.6
bottle,3,label,0.15643792026648148,1,15,0.06666666666666667
bottle,3,neck,0.24795516523601252,7,15,0.4666666666666667
bottle,4,base,0.18490630911449166,4,14,0.2857142857142857
bottle,4,cap,0.18835256394860747,8,14,0.5714285714285714
bottle,4,cork,0.09832123902715736,1,14,0.07142857142857142
bottle,4,label,0.20819862601353034,2,14,0.14285714285714285
bottle,4,neck,0.22235972281119173,9,14,0.6428571428571429
camel,1,eye,0.02300326068913933,12,23,0.5217391304347826
camel,1,hump,0.25081733274516943,15,23,0.6521739130434783
camel,1,leg,0.271890863705161,20,23,0.8695652173913043
camel,1,mouth,0.030678368494103853,11,23,0.4782608695652174
camel,1,tail,0.12862153700855014,6,23,0.2608695652173913
camel,2,eye,0.04971071271701581,12,24,0.5
camel,2,hump,0.16224127452172066,11,24,0.4583333333333333
camel,2,leg,0.2845661024432665,15,24,0.625
camel,2,mouth,0.039621014963700275,7,24,0.2916666666666667
