drawn_category,class,mean_prob
cow,bear,0.02651957368943578
cow,camel,0.04102828656778441
cow,cow,0.045749799918279814
cow,elephant,0.04423372898785092
cow,horse,0.05356569111043578
cow,octopus,0.02965750454999541
cow,person,0.022077705886353213
cow,sheep,0.03961266610428899
cow,tiger,0.04397220406417431
cow,whale,0.026253277106100918
cow,bee,0.023176579443110093
cow,bird,0.02077202553651376
cow,cat,0.024894897469955275
cow,dog,0.027974688752894494
cow,face,0.01620324184754587
cow,fish,0.019141643022133028
cow,frog,0.023410506498068806
cow,hand,0.016235515796926607
cow,rabbit,0.018653671738472478
cow,snail,0.016604702303004586
cow,spider,0.027156085453424312
cow,airplane,0.015916743590206422
cow,bed,0.01684202943277523
cow,bike,0.019629445151651378
cow,boat,0.01083210678130734
cow,cactus,0.019290376081683488
cow,car,0.02002368508745413
cow,chair,0.013177230402958715
cow,couch,0.014937098543073395
cow,house,0.009838542316834863
cow,piano,0.02207132887211009
cow,train,0.023204082184610092
cow,tree,0.022615412426766054
cow,TV,0.01299225707043578
cow,apple,0.010262371575389909
cow,book,0.0108965535278211
cow,bottle,0.009542745797729358
cow,bowl,0.011757699523577981
cow,clock,0.011004151163623853
cow,cup,0.009805917803211009
cow,hat,0.009089678240183486
cow,ice.cream,0.015700284063944955
cow,key,0.013965203809105504
cow,lamp,0.010750704969633028
cow,mushroom,0.01774905536146789
cow,phone,0.008747402367133027
cow,scissors,0.017443092100263763
cow,watch,0.0150208090471789
elephant,bear,0.03256229681595174
elephant,camel,0.0575012580352815
elephant,cow,0.038798117541313674
elephant,elephant,0.05538151268455764
elephant,horse,0.05063733383672922
elephant,octopus,0.04175902546927614
elephant,person,0.018269112142573728
elephant,sheep,0.03736473838179625
elephant,tiger,0.03665488595075067
elephant,whale,0.026851439883404826
elephant,bee,0.023481050702949063
elephant,bird,0.021403944698203753
elephant,cat,0.02188843008378016
elephant,dog,0.02639744131375335
elephant,face,0.015379773480375334
elephant,fish,0.01643988013844504
elephant,frog,0.024243605912756032
elephant,hand,0.020246134504986597
elephant,rabbit,0.021141155843994636
elephant,snail,0.0167538805077748
elephant,spider,0.028594009019731904
elephant,airplane,0.017246133566863272
elephant,bed,0.011972069466085792
elephant,bike,0.01910168692635389
elephant,boat,0.011930885161018766
elephant,cactus,0.02139443122630027
elephant,car,0.018694606521420912
elephant,chair,0.009990825387399463
elephant,couch,0.014003151965817695
elephant,house,0.011467799201340483
elephant,piano,0.009977516069517427
elephant,train,0.01768512536513673
elephant,tree,0.024820260394959787
elephant,TV,0.011195511762734584
elephant,apple,0.014522006622439678
elephant,book,0.010804847971233244
elephant,bottle,0.010244938151187667
elephant,bowl,0.010185387666729223
