category,childs_age,ci_lower,ci_upper,mean
face,9,4,4.8,4.4
face,10,NA,NA,5
fish,2,NA,NA,1
fish,3,1,2.111111111111111,1.5555555555555556
fish,4,2,3.6666666666666665,2.7777777777777777
fish,5,1.8,3.8,2.8
fish,6,1.6666666666666667,2.8333333333333335,2.25
fish,7,3,3.5,3.1666666666666665
fish,8,2,3,2.3333333333333335
fish,9,2.4,3.8,3.2
fish,10,NA,NA,1
frog,2,NA,NA,1
frog,3,1,1.6666666666666667,1.2222222222222223
frog,4,1.3333333333333333,3.2222222222222223,2.111111111111111
frog,5,1.2,2.4,1.8
frog,6,1.1666666666666667,2,1.5833333333333333
frog,7,1.5,2.6666666666666665,2.1666666666666665
frog,8,1,3,2.3333333333333335
frog,9,1.2,3.6,2.2
frog,10,NA,NA,1
hand,2,NA,NA,3
hand,3,1.3333333333333333,2.7777777777777777,2
hand,4,2.6666666666666665,4.222222222222222,3.4444444444444446
hand,5,2,4,3.2
hand,6,2.664583333333335,3.8333333333333335,3.25
hand,7,1.8333333333333333,3,2.5
hand,8,2,4,3.3333333333333335
hand,9,1.8,3.6,2.8
hand,10,NA,NA,2
hat,2,NA,NA,1
hat,3,1,1.6666666666666667,1.2222222222222223
hat,4,1.8888888888888888,3.3333333333333335,2.5555555555555554
hat,5,1.8,3.4,2.6
hat,6,1.6666666666666667,2.75,2.1666666666666665
hat,7,1.6666666666666667,2.6666666666666665,2.1666666666666665
hat,8,2,3,2.6666666666666665
hat,9,2.2,3.8,3
hat,10,NA,NA,1
horse,2,NA,NA,1
horse,3,1,1.5555555555555556,1.2222222222222223
horse,4,1.4444444444444444,3.111111111111111,2.2222222222222223
horse,5,1.4,2.6,2
horse,6,1.6666666666666667,2.6666666666666665,2.1666666666666665
horse,7,1.8333333333333333,3.1708333333333294,2.5
horse,8,2,3,2.3333333333333335
horse,9,1.4,2,1.8
horse,10,NA,NA,2
house,2,NA,NA,1
house,3,1.5555555555555556,2.888888888888889,2.2222222222222223
house,4,2.7777777777777777,4,3.4444444444444446
house,5,4,4,4
house,6,2.75,3.75,3.25
house,7,3.5,4,3.8333333333333335
house,8,3,4,3.6666666666666665
house,9,3.4,4.6,4
house,10,NA,NA,4
ice.cream,2,NA,NA,1
ice.cream,3,1,2.3333333333333335,1.5555555555555556
ice.cream,4,1.4444444444444444,3.2222222222222223,2.2222222222222223
ice.cream,5,1.4,2.6,2
ice.cream,6,1.9166666666666667,2.9166666666666665,2.4166666666666665
ice.cream,7,2,3.6666666666666665,2.8333333333333335
ice.cream,8,3,4,3.3333333333333335
ice.cream,9,2.4,3.6,3
ice.cream,10,NA,NA,2
key,2,NA,NA,1
key,3,1,1.4444444444444444,1.2222222222222223
key,4,1.1111111111111112,2.5555555555555554,1.6666666666666667
key,5,1,1,1
key,6,1.1666666666666667,1.9166666666666667,1.5
key,7,1,1.6666666666666667,1.3333333333333333
key,8,1,2,1.3333333333333333
key,9,1.2,2,1.6
key,10,NA,NA,1
lamp,2,NA,NA,1
lamp,3,1,1.8888888888888888,1.3333333333333333
lamp,4,1.1111111111111112,2.7777777777777777,1.7777777777777777
lamp,5,1,2.8,1.6
