age_numeric,category,ci_lower,ci_upper,mean
3,scissors,-2.1909500196233367,-1.7965232571089542,-1.999300698082334
3,sheep,-3.569229749848086,-2.9639791670515314,-3.2746160031737648
3,snail,-0.8675428633414309,-0.19556434570209918,-0.5424526619177062
3,spider,-2.7229469181419215,-1.8842421967945626,-2.3160870089490517
3,tiger,-5.671596470237453,-4.894731370976177,-5.280948506151347
3,train,-5.183953583050018,-4.627565087494015,-4.91666892684333
3,tree,-4.283099206459314,-3.576571566192091,-3.934441438709673
3,watch,-4.443848253116948,-3.7341810358365737,-4.111427789386628
3,whale,-3.3288376219628497,-2.7453279712834626,-3.048803203581258
4,TV,-4.646490343115894,-4.329586435025153,-4.4893724095557355
4,airplane,-4.55195227725847,-3.7738621203356213,-4.167871419584647
4,apple,-3.0163631820061902,-2.514309913450208,-2.772936885884991
4,bear,-3.4142075058994568,-2.9362695407631696,-3.1904242531393145
4,bed,-3.2354389264886154,-2.7292764901404327,-2.965142081387923
4,bee,-3.7112496247398217,-3.0079366532929104,-3.364360489913962
4,bike,-3.2754808593855067,-1.771673111029652,-2.5544647508163534
4,bird,-2.9136863339449026,-1.8644606337403788,-2.384399997690815
4,boat,-3.0520884334885725,-2.118928036426171,-2.610745349977421
4,book,-4.558830866033257,-4.099200646275596,-4.347504003608525
4,bottle,-3.1346626017990125,-2.313067921880398,-2.72680173980726
4,bowl,-3.5032529501976133,-2.8964374490522062,-3.1977423815200736
4,cactus,-3.2742273110142968,-2.5665745154635777,-2.922978536636144
4,camel,-2.3891497156339696,-1.7841318349931021,-2.1154124276481543
4,car,-4.367479324870724,-3.574351410330507,-3.9865529199427474
4,cat,-3.410780256624016,-2.8669770314316048,-3.1369899967030896
4,chair,-2.3256390759713623,-1.560401092308175,-1.9499694727254926
4,clock,-3.275107282269713,-2.7356044315541803,-3.0209481248353733
4,couch,-3.831580215917532,-2.9534428281549436,-3.3854744376212027
4,cow,-3.3962256384192653,-2.8020832630542483,-3.1078870634403835
4,cup,-3.8890744041729786,-3.1659895403030496,-3.56749485756949
4,dog,-3.786012645073484,-3.322372371021048,-3.544518998679234
4,elephant,-2.967623075327958,-2.3507500502800274,-2.6443791558267806
4,face,-2.5082155307880316,-2.21029592066807,-2.3593440694277166
4,fish,-2.2554995907545745,-1.4639562154333097,-1.8722288193928622
4,frog,-3.2417472373293617,-2.881563041740864,-3.0693712551057923
4,hand,-1.6147239587039286,-0.8698385467540589,-1.2322405116766546
4,hat,-1.4163490347802536,-0.7112052120751575,-1.0798110829676237
4,horse,-2.702850779450204,-2.1660639423457053,-2.4386963065026888
4,house,-3.5516218917339826,-2.496456096529933,-3.0239122828028537
4,ice.cream,-4.777735372487737,-4.233616869022726,-4.505584692202899
4,key,-4.471101250029205,-4.043205989783066,-4.271069416128046
4,lamp,-2.9507328419801726,-2.278861268897456,-2.6279640335139702
4,mushroom,-2.5511656986415012,-2.005339051701603,-2.2928227947622166
4,octopus,-4.0515633698709115,-3.4607265945964563,-3.7744019216916116
4,person,-3.0466347090026646,-2.580830770304499,-2.8058079823650397
4,phone,-4.188026305621868,-3.9134493346417947,-4.049612935307388
4,piano,-5.040651593323452,-4.557090345420535,-4.784741401960806
4,rabbit,-1.7203989986448047,-0.6242396644100848,-1.1713824879419716
4,scissors,-2.035594425772785,-1.663088658621342,-1.8532071365648317
4,sheep,-3.1421933712874583,-2.6259570772255794,-2.8738415166141262
4,snail,-1.1338512324650363,-0.45770639342377284,-0.775597078935913
4,spider,-1.9099929381463499,-1.1789120041886072,-1.534202129275897
4,tiger,-5.857430635235944,-5.290482409639997,-5.57729231162449
4,train,-4.962655097307345,-4.354480965498873,-4.67454227135089
4,tree,-3.8964942073726587,-3.2255952582977128,-3.5654494469625897
4,watch,-4.355803401056407,-3.88147458337319,-4.131630562388887
4,whale,-3.4208554659270205,-2.9413369075060265,-3.187535295811195
5,TV,-4.344225540364086,-3.960921977495427,-4.168846420624828
5,airplane,-4.674889698545046,-3.8056208010428083,-4.277146359855482
5,apple,-2.623320940378998,-1.9966132998723547,-2.324081112410131
5,bear,-3.2976137024094547,-2.7508580276896444,-3.0359158341871373
5,bed,-3.0173426749782237,-2.492519423856371,-2.7487201125132428
5,bee,-3.5357769084740105,-2.889295739093939,-3.2132287183386765
5,bike,-1.6871495072755096,-0.5039995552741292,-1.1081845301660345
5,bird,-3.0859026773724043,-2.185165258890472,-2.643036834108291
5,boat,-2.356538206864275,-1.4772981398899192,-1.9145461345236727
5,book,-4.47075489068204,-4.089711445199087,-4.276562779080221
5,bottle,-2.942754106597309,-2.30490339674809,-2.6329931874086556
5,bowl,-3.2210255622758934,-2.665080973603625,-2.9492810221460637
5,cactus,-2.7079339147892196,-2.02548251479262,-2.3751546416074407
5,camel,-2.619279218035257,-1.997448547761942,-2.3256926556178166
5,car,-3.559428342656454,-2.7622807424522757,-3.1434579501030266
5,cat,-3.2423122480273596,-2.6737070500631983,-2.942185233181494
5,chair,-2.126523590515461,-1.4233116244694604,-1.7905369418343156
5,clock,-3.072419038464225,-2.447462090982712,-2.761714005117227
5,couch,-3.1945394545749815,-2.3302130599686715,-2.775981463022159
5,cow,-3.0931742267469264,-2.4671018812399295,-2.791869656157021
5,cup,-3.78968741835779,-3.1924006572564765,-3.494859513016414
5,dog,-3.8870349439425427,-3.4221374382972067,-3.6556580211378638
5,elephant,-2.7671212329724444,-2.2413160950580675,-2.5036566945476277
5,face,-2.3138600954155804,-1.9976008117444262,-2.143775473129592
5,fish,-1.75179681682558,-1.058208479803659,-1.4130345707228558
5,frog,-3.2591720870892686,-2.8307897876433743,-3.0442260307067364
5,hand,-0.9895094809736724,-0.2827768895368527,-0.6488722933150057
5,hat,-1.75934985332893,-1.1496626525961835,-1.4687394442388526
5,horse,-2.7082373139517917,-2.0945736881415846,-2.3965216787856063
5,house,-2.455518186978582,-1.4526887434659943,-1.951760818371998
5,ice.cream,-4.1337722867988616,-3.3778384410232247,-3.7616442951161306
5,key,-4.483687239320956,-3.9465261071307567,-4.217484446611867
5,lamp,-2.629266616820754,-1.882273443769405,-2.2737641641563684
5,mushroom,-2.438583321048906,-1.7812258046285332,-2.1040644946928913
5,octopus,-3.77134343212912,-3.086319404505264,-3.434504055368133
5,person,-2.8212998634763187,-2.449448273668419,-2.637836484613877
5,phone,-4.0382503627949164,-3.788677008377199,-3.9174598347483776
5,piano,-4.935604650127036,-4.455339619100326,-4.704291921977282
5,rabbit,-1.8765105567767386,-0.8801872751128371,-1.3969572905758454
5,scissors,-2.0280314966998017,-1.6033184519130548,-1.8088211687690583
5,sheep,-2.9279470604309603,-2.417253872283621,-2.6764563656215303
5,snail,-0.7422584325889788,-0.14336332016804443,-0.44915263189342963
5,spider,-2.0275762617222495,-1.179801249374408,-1.614032892520993
5,tiger,-5.98138443878448,-5.521958294540702,-5.7580460918715755
5,train,-4.653809646581885,-4.012608323959228,-4.344374104207728
5,tree,-3.7286621456622075,-3.001761361761777,-3.3798240160052653
5,watch,-4.3728661300461775,-3.8061753260593623,-4.104500517840651
5,whale,-2.9624885864913217,-2.491610551735444,-2.7236776099851174
6,TV,-4.2408063173376025,-3.6608196231682713,-3.967630940420507
6,airplane,-4.670642206310397,-3.853253777630641,-4.2755057282083175
6,apple,-1.4980265911656587,-0.6040787499902959,-1.081590778370736
6,bear,-3.355226315663632,-2.7764981266912017,-3.070869901914775
6,bed,-3.0883472298120656,-2.4590834000714663,-2.7902140628511805
6,bee,-3.553025821163237,-2.6187924043735205,-3.0947379837341473
6,bike,-1.7742884544668762,-0.4252726582889858,-1.1213367210791592
6,bird,-2.4427406463902464,-1.3428754778469911,-1.9409221574875148
6,boat,-2.144560979567499,-1.0423328651901087,-1.568429177831977
6,book,-4.204561073565221,-3.701354882937277,-3.960522598216155
